distance,speed,frame
1225.633,120,766
1226.967,120,767
1228.289,118,768
1229.6,118,769
1230.911,118,770
1232.217,117,771
1233.517,117,772
1234.811,116,773
1236.1,116,774
1237.389,116,775
1238.683,117,776
1239.983,117,777
1241.278,116,778
1242.567,116,779
1243.856,116,780
1245.139,115,781
1246.417,115,782
1247.694,115,783
1248.972,115,784
1250.25,115,785
1251.528,115,786
1252.806,115,787
1254.072,113,788
1255.328,113,789
1256.583,113,790
1257.839,113,791
1259.094,113,792
1260.35,113,793
1261.606,113,794
1262.861,113,795
1264.111,112,796
1265.356,112,797
1266.594,111,798
1267.828,111,799
1269.061,111,800
1270.294,111,801
1271.528,111,802
1272.761,111,803
1273.994,111,804
1275.228,111,805
1276.472,113,806
1277.728,113,807
1278.983,113,808
1280.239,113,809
1281.494,113,810
1282.756,114,811
1284.022,114,812
1285.294,115,813
1286.572,115,814
1287.85,115,815
1289.117,113,816
1290.372,113,817
1291.622,112,818
1292.867,112,819
1294.111,112,820
1295.356,112,821
1296.6,112,822
1297.833,110,823
1299.056,110,824
1300.278,110,825
1301.494,109,826
1302.706,109,827
1303.911,108,828
1305.111,108,829
1306.311,108,830
1307.506,107,831
1308.694,107,832
1309.878,106,833
1311.056,106,834
1312.233,106,835
1313.417,107,836
1314.606,107,837
1315.8,108,838
1317,108,839
1318.2,108,840
1319.4,108,841
1320.6,108,842
1321.8,108,843
1323,108,844
1324.2,108,845
1325.406,109,846
1326.617,109,847
1327.833,110,848
1329.056,110,849
1330.278,110,850
1331.506,111,851
1332.739,111,852
1333.983,113,853
1335.239,113,854
1336.494,113,855
1337.761,115,856
1339.039,115,857
1340.328,117,858
1341.628,117,859
1342.928,117,860
1344.239,119,861
1345.561,119,862
1346.894,121,863
1348.239,121,864
1349.583,121,865
1350.939,123,866
1352.306,123,867
1353.678,124,868
1355.056,124,869
1356.433,124,870
1357.822,126,871
1359.222,126,872
1360.633,128,873
1362.056,128,874
1363.478,128,875
1364.911,130,876
1366.356,130,877
1367.811,132,878
1369.278,132,879
1370.744,132,880
1372.222,134,881
1373.711,134,882
1375.211,136,883
1376.722,136,884
1378.233,136,885
1379.756,138,886
1381.289,138,887
1382.839,141,888
1384.406,141,889
1385.972,141,890
1387.556,144,891
1389.156,144,892
1390.772,147,893
1392.406,147,894
1394.039,147,895
1395.689,150,896
1397.356,150,897
1399.039,153,898
1400.739,153,899
1402.439,153,900
1404.15,155,901
1405.872,155,902
1407.606,157,903
1409.35,157,904
1411.094,157,905
1412.833,156,906
1414.567,156,907
1416.283,153,908
1417.983,153,909
1419.683,153,910
1421.361,149,911
1423.017,149,912
1424.656,146,913
1426.278,146,914
1427.9,146,915
1429.506,143,916
1431.094,143,917
1432.656,138,918
1434.189,138,919
1435.722,138,920
1437.239,135,921
1438.739,135,922
1440.222,132,923
1441.689,132,924
1443.156,132,925
1444.6,128,926
1446.022,128,927
1447.422,124,928
1448.8,124,929
1450.178,124,930
1451.544,122,931
1452.9,122,932
1454.233,118,933
1455.544,118,934
1456.856,118,935
1458.144,114,936
1459.411,114,937
1460.667,112,938
1461.911,112,939
1463.156,112,940
1464.378,108,941
1465.578,108,942
1466.772,107,943
1467.961,107,944
1469.15,107,945
1470.333,106,946
1471.511,106,947
1472.683,105,948
1473.85,105,949
1475.017,105,950
1476.183,105,951
1477.35,105,952
1478.506,103,953
1479.65,103,954
1480.794,103,955
1481.939,103,956
1483.083,103,957
1484.228,103,958
1485.372,103,959
1486.517,103,960
1487.65,101,961
1488.772,101,962
1489.894,101,963
1491.017,101,964
1492.133,100,965
1493.244,100,966
1494.356,100,967
1495.461,99,968
1496.561,99,969
1497.661,99,970
1498.761,99,971
1499.861,99,972
1500.967,100,973
1502.078,100,974
1503.189,100,975
1504.3,100,976
1505.411,100,977
1506.522,100,978
1507.633,100,979
1508.739,99,980
1509.839,99,981
1510.939,99,982
1512.039,99,983
1513.139,99,984
1514.239,99,985
1515.339,99,986
1516.439,99,987
1517.539,99,988
1518.639,99,989
1519.744,100,990
1520.856,100,991
1521.967,100,992
1523.078,100,993
1524.189,100,994
1525.306,101,995
1526.428,101,996
1527.55,101,997
1528.678,102,998
1529.811,102,999
1530.95,103,1000
1532.094,103,1001
1533.239,103,1002
1534.389,104,1003
1535.544,104,1004
1536.711,106,1005
1537.889,106,1006
1539.067,106,1007
1540.25,107,1008
1541.439,107,1009
1542.639,109,1010
1543.85,109,1011
1545.061,109,1012
1546.278,110,1013
1547.5,110,1014
1548.728,111,1015
1549.961,111,1016
1551.194,111,1017
1552.439,113,1018
1553.694,113,1019
1554.961,115,1020
1556.239,115,1021
1557.517,115,1022
1558.806,117,1023
1560.106,117,1024
1561.417,119,1025
1562.739,119,1026
1564.061,119,1027
1565.394,121,1028
1566.739,121,1029
1568.089,122,1030
1569.444,122,1031
1570.8,122,1032
1572.161,123,1033
1573.528,123,1034
1574.906,125,1035
1576.294,125,1036
1577.683,125,1037
1579.078,126,1038
1580.478,126,1039
1581.889,128,1040
1583.311,128,1041
1584.733,128,1042
1586.161,129,1043
1587.594,129,1044
1589.039,131,1045
1590.494,131,1046
1591.95,131,1047
1593.411,132,1048
1594.878,132,1049
1596.356,134,1050
