distance,speed,frame
1024.817,109,679
1026.022,108,680
1027.222,108,681
1028.422,108,682
1029.617,107,683
1030.806,107,684
1031.989,106,685
1033.167,106,686
1034.344,106,687
1035.517,105,688
1036.683,105,689
1037.85,105,690
1039.017,105,691
1040.183,105,692
1041.344,104,693
1042.5,104,694
1043.661,105,695
1044.828,105,696
1045.994,105,697
1047.167,106,698
1048.344,106,699
1049.528,107,700
1050.717,107,701
1051.906,107,702
1053.1,108,703
1054.3,108,704
1055.511,110,705
1056.733,110,706
1057.956,110,707
1059.183,111,708
1060.417,111,709
1061.661,113,710
1062.917,113,711
1064.172,113,712
1065.433,114,713
1066.7,114,714
1067.978,116,715
1069.267,116,716
1070.556,116,717
1071.856,118,718
1073.167,118,719
1074.483,119,720
1075.806,119,721
1077.128,119,722
1078.461,121,723
1079.806,121,724
1081.161,123,725
1082.528,123,726
1083.894,123,727
1085.272,125,728
1086.661,125,729
1088.061,127,730
1089.472,127,731
1090.883,127,732
1092.3,128,733
1093.722,128,734
1095.161,131,735
1096.617,131,736
1098.072,131,737
1099.539,133,738
1101.017,133,739
1102.506,135,740
1104.006,135,741
1105.506,135,742
1107.017,137,743
1108.539,137,744
1110.078,140,745
1111.633,140,746
1113.189,140,747
1114.761,143,748
1116.35,143,749
1117.956,146,750
1119.578,146,751
1121.2,146,752
1122.839,149,753
1124.494,149,754
1126.167,152,755
1127.856,152,756
1129.544,152,757
1131.244,154,758
1132.956,154,759
1134.678,156,760
1136.411,156,761
1138.144,156,762
1139.878,156,763
1141.611,156,764
1143.339,155,765
1145.061,155,766
1146.783,155,767
1148.506,155,768
1150.228,155,769
1151.939,153,770
1153.639,153,771
1155.339,153,772
1157.028,151,773
1158.706,151,774
1160.372,149,775
1162.028,149,776
1163.683,149,777
1165.328,147,778
1166.961,147,779
1168.589,146,780
1170.211,146,781
1171.833,146,782
1173.444,144,783
1175.044,144,784
1176.633,142,785
1178.211,142,786
1179.789,142,787
1181.361,141,788
1182.928,141,789
1184.489,140,790
1186.044,140,791
1187.6,140,792
1189.15,139,793
1190.694,139,794
1192.239,139,795
1193.783,139,796
1195.328,139,797
1196.861,137,798
1198.383,137,799
1199.894,135,800
1201.394,135,801
1202.894,135,802
1204.389,134,803
1205.878,134,804
1207.35,131,805
1208.806,131,806
1210.261,131,807
1211.706,129,808
1213.139,129,809
1214.561,127,810
1215.972,127,811
1217.383,127,812
1218.783,125,813
1220.172,125,814
1221.55,123,815
1222.917,123,816
1224.283,123,817
1225.633,120,818
1226.967,120,819
1228.289,118,820
1229.6,118,821
1230.911,118,822
1232.217,117,823
1233.517,117,824
1234.811,116,825
1236.1,116,826
1237.389,116,827
1238.683,117,828
1239.983,117,829
1241.278,116,830
1242.567,116,831
1243.856,116,832
1245.139,115,833
1246.417,115,834
1247.694,115,835
1248.972,115,836
1250.25,115,837
1251.528,115,838
1252.806,115,839
1254.072,113,840
1255.328,113,841
1256.583,113,842
1257.839,113,843
1259.094,113,844
1260.35,113,845
1261.606,113,846
1262.861,113,847
1264.111,112,848
1265.356,112,849
1266.594,111,850
1267.828,111,851
1269.061,111,852
1270.294,111,853
1271.528,111,854
1272.761,111,855
1273.994,111,856
1275.228,111,857
1276.472,113,858
1277.728,113,859
1278.983,113,860
1280.239,113,861
